,Ticker,Buy/Sell,Date,Price
7,LNT,Sell,2024-04-01,50.61
5,EIX,Sell,2024-04-01,70.58
5,AWK,Sell,2024-04-01,122.44
5,NEM,Sell,2024-04-01,36.96
3,WBA,Sell,2024-04-01,21.57
5,CPB,Sell,2024-04-01,44.5
5,AMGN,Sell,2024-03-28,287.86
5,MRK,Sell,2024-03-28,132.0
5,MDT,Sell,2024-03-28,87.1
5,O,Sell,2024-03-28,53.62
3,FOX,Sell,2024-03-28,28.65
3,BWA,Sell,2024-03-28,34.7
3,DOC,Sell,2024-03-28,18.35
3,IVZ,Sell,2024-03-28,16.5
5,TJX,Sell,2024-03-28,101.22
3,AES,Sell,2024-03-28,17.33
3,CMA,Sell,2024-03-28,54.54
3,MKC,Sell,2024-03-27,77.75
3,LW,Sell,2024-03-27,106.2
5,KDP,Sell,2024-03-26,30.44
5,KHC,Sell,2024-03-25,35.88
7,LULU,Sell,2024-03-22,416.25
3,BK,Sell,2024-03-22,57.29
5,TTWO,Sell,2024-03-22,152.67
5,FOXA,Sell,2024-03-22,30.58
3,STT,Sell,2024-03-22,76.07
3,MCO,Sell,2024-03-22,397.52
3,LMT,Sell,2024-03-21,441.36
3,PARA,Sell,2024-03-21,12.57
3,RCL,Sell,2024-03-21,136.79
3,CVS,Sell,2024-03-21,78.59
3,NOC,Sell,2024-03-20,468.63
3,CAG,Sell,2024-03-20,29.1
3,DE,Sell,2024-03-20,390.77
5,IP,Sell,2024-03-20,39.11
5,GOOGL,Sell,2024-03-19,148.16
7,PEP,Sell,2024-03-19,171.1
5,GOOG,Sell,2024-03-19,148.98
3,ALL,Sell,2024-03-18,161.33
5,ITW,Sell,2024-03-18,269.0
5,PFG,Sell,2024-03-18,82.6
3,MKTX,Sell,2024-03-14,225.12
7,NEE,Sell,2024-03-14,59.2
5,PYPL,Sell,2024-03-14,62.51
3,APA,Sell,2024-03-14,32.75
3,DGX,Sell,2024-03-13,130.0
5,ADM,Sell,2024-03-13,57.5
3,ORCL,Sell,2024-03-13,128.0
3,WRK,Sell,2024-03-13,46.97
5,HSY,Sell,2024-03-12,198.75
5,DD,Sell,2024-03-12,72.29
3,SWK,Sell,2024-03-12,92.25
5,EMN,Sell,2024-03-12,91.75
3,MRNA,Sell,2024-03-12,112.0
5,IPG,Sell,2024-03-12,33.0
3,FCX,Sell,2024-03-12,40.67
5,EG,Sell,2024-03-12,379.04
5,EOG,Sell,2024-03-12,120.82
3,PFE,Sell,2024-03-12,28.31
5,SRE,Sell,2024-03-12,72.2
3,XOM,Sell,2024-03-11,108.25
3,PM,Sell,2024-03-11,92.91
3,SBAC,Sell,2024-03-11,221.27
3,MO,Sell,2024-03-11,41.98
5,PXD,Sell,2024-03-11,242.72
5,TAP,Sell,2024-03-11,64.73
5,MMM,Sell,2024-03-11,78.58
3,PSA,Sell,2024-03-11,293.5
5,HON,Sell,2024-03-08,203.13
5,AMCR,Sell,2024-03-08,9.42
5,CPAY,Sell,2024-03-08,293.0
5,RMD,Sell,2024-03-08,192.0
7,DUK,Sell,2024-03-08,94.48
3,MET,Sell,2024-03-08,72.34
3,TER,Sell,2024-03-08,110.56
3,MAA,Sell,2024-03-08,133.95
1,PNW,Sell,2024-03-08,71.4
5,SNA,Sell,2024-03-08,295.95
1,HAL,Sell,2024-03-08,36.19
3,SLB,Sell,2024-03-08,50.69
3,OMC,Sell,2024-03-08,92.09
3,KVUE,Sell,2024-03-08,19.69
5,ROK,Sell,2024-03-08,296.49
3,HPQ,Sell,2024-03-07,30.36
3,UPS,Sell,2024-03-07,153.23
1,AFL,Sell,2024-03-07,82.35
7,ED,Sell,2024-03-07,90.76
5,CPT,Sell,2024-03-07,98.49
3,WEC,Sell,2024-03-07,81.81
1,BKR,Sell,2024-03-07,30.64
5,KEY,Sell,2024-03-06,14.94
3,FMC,Sell,2024-03-06,60.3
3,MTB,Sell,2024-03-06,142.95
3,USB,Sell,2024-03-06,43.06
3,CFG,Sell,2024-03-06,33.66
3,CCI,Sell,2024-03-05,112.41
3,MS,Sell,2024-03-05,89.19
3,NTRS,Sell,2024-03-05,83.67
3,HPE,Sell,2024-03-05,17.01
5,AVB,Sell,2024-03-05,184.11
3,HBAN,Sell,2024-03-05,13.34
3,ESS,Sell,2024-03-05,241.83
7,INTC,Sell,2024-03-05,44.56
3,RF,Sell,2024-03-05,18.95
3,UDR,Sell,2024-03-05,37.16
3,EXR,Sell,2024-03-05,146.62
5,REG,Sell,2024-03-05,62.77
5,AOS,Sell,2024-03-05,84.86
5,PNC,Sell,2024-03-05,153.32
3,KMB,Sell,2024-03-05,123.78
5,BR,Sell,2024-03-05,205.28
1,COP,Sell,2024-03-04,114.04
7,NTAP,Sell,2024-03-04,106.0
5,WDC,Sell,2024-03-04,65.0
3,SCHW,Sell,2024-03-01,66.62
3,DHI,Sell,2024-03-01,149.5
5,BF-B,Sell,2024-03-01,59.94
3,WMB,Sell,2024-03-01,36.08
5,MNST,Sell,2024-03-01,58.8
3,HRL,Sell,2024-03-01,35.32
5,INVH,Sell,2024-03-01,33.9
7,FDX,Sell,2024-03-01,248.04
5,AMT,Sell,2024-03-01,198.9
3,BAC,Sell,2024-03-01,34.53
5,WY,Sell,2024-03-01,34.26
3,BBY,Sell,2024-02-28,79.42
5,MU,Sell,2024-02-28,90.46
3,NCLH,Sell,2024-02-28,19.06
3,ALB,Sell,2024-02-28,130.66
3,HSIC,Sell,2024-02-26,79.5
3,DOW,Sell,2024-02-26,56.14
3,D,Sell,2024-02-26,47.45
3,BLK,Sell,2024-02-23,817.06
3,UAL,Sell,2024-02-23,45.11
3,DAL,Sell,2024-02-23,41.97
5,JNJ,Sell,2024-02-23,160.88
1,BMY,Sell,2024-02-22,50.58
3,AEE,Sell,2024-02-22,70.94
3,KMI,Sell,2024-02-22,17.25
5,CNP,Sell,2024-02-22,28.08
3,BG,Sell,2024-02-22,92.63
5,EXC,Sell,2024-02-22,36.03
3,DTE,Sell,2024-02-22,108.22
5,PEG,Sell,2024-02-22,60.55
5,EQT,Sell,2024-02-22,36.48
1,MRO,Sell,2024-02-22,23.37
5,CTRA,Sell,2024-02-22,25.81
5,EQR,Sell,2024-02-22,61.4
3,GRMN,Sell,2024-02-22,134.77
1,DVN,Sell,2024-02-22,43.69
5,DFS,Sell,2024-02-21,121.45
3,SYF,Sell,2024-02-21,40.08
5,PPL,Sell,2024-02-20,26.58
5,KR,Sell,2024-02-20,48.26
5,EPAM,Sell,2024-02-20,308.53
3,SPG,Sell,2024-02-20,149.1
3,BIO,Sell,2024-02-20,337.3
3,CBRE,Sell,2024-02-16,93.66
5,WFC,Sell,2024-02-16,51.94
3,TRGP,Sell,2024-02-16,93.54
3,OXY,Sell,2024-02-16,60.38
5,AEP,Sell,2024-02-16,81.27
3,LIN,Sell,2024-02-16,432.27
5,LYV,Sell,2024-02-16,93.9
3,ZBRA,Sell,2024-02-16,282.41
5,YUM,Sell,2024-02-15,134.0
5,WELL,Sell,2024-02-15,93.65
3,MOH,Sell,2024-02-15,401.2
3,HAS,Sell,2024-02-15,52.8
5,CRL,Sell,2024-02-15,242.08
5,ES,Sell,2024-02-15,58.27
3,CME,Sell,2024-02-15,214.4
3,IQV,Sell,2024-02-15,241.95
5,LYB,Sell,2024-02-13,95.82
3,FANG,Sell,2024-02-13,167.31
7,CF,Sell,2024-02-13,78.46
3,EBAY,Sell,2024-02-13,42.49
3,FSLR,Sell,2024-02-13,150.0
3,KMX,Sell,2024-02-13,73.52
5,NTAP,Sell,2024-02-13,88.94
3,EA,Sell,2024-02-12,140.41
3,NXPI,Sell,2024-02-12,234.0
7,ENPH,Sell,2024-02-12,123.5
3,ETSY,Sell,2024-02-12,78.21
3,MGM,Sell,2024-02-09,46.67
3,RL,Sell,2024-02-09,170.55
3,JKHY,Sell,2024-02-09,175.0
5,F,Sell,2024-02-08,12.87
5,EMR,Sell,2024-02-08,104.63
5,GNRC,Sell,2024-02-08,125.21
3,GEHC,Sell,2024-02-07,82.04
5,CMI,Sell,2024-02-07,252.89
3,UBER,Sell,2024-02-07,67.6
5,CPRT,Sell,2024-02-07,50.85
3,SBUX,Sell,2024-02-07,96.24
5,IDXX,Sell,2024-02-06,575.96
5,EL,Sell,2024-02-06,150.0
3,CI,Sell,2024-02-05,327.36
1,ODFL,Sell,2024-02-05,204.3
3,DRI,Sell,2024-02-02,166.39
5,WMT,Sell,2024-02-02,56.05
3,BALL,Sell,2024-02-02,58.81
5,CTVA,Sell,2024-02-02,54.3
3,JBL,Sell,2024-02-02,130.5
3,CAH,Sell,2024-02-01,104.0
3,EG,Sell,2024-02-01,382.15
7,ELV,Sell,2024-01-31,494.62
3,HSY,Sell,2024-01-31,197.0
3,GM,Sell,2024-01-31,38.2
5,OTIS,Sell,2024-01-31,91.15
3,TRMB,Sell,2024-01-31,52.51
3,COF,Sell,2024-01-29,139.64
3,DLR,Sell,2024-01-29,142.83
3,PSX,Sell,2024-01-29,139.66
3,CEG,Sell,2024-01-29,121.09
5,CMCSA,Sell,2024-01-26,45.43
3,AAL,Sell,2024-01-26,15.55
5,CAT,Sell,2024-01-26,301.0
5,GL,Sell,2024-01-26,123.75
3,PGR,Sell,2024-01-25,178.41
3,PG,Sell,2024-01-24,153.93
3,HOLX,Sell,2024-01-24,74.9
1,DAY,Sell,2024-01-24,70.19
3,LUV,Sell,2024-01-24,31.32
5,PCAR,Sell,2024-01-24,101.83
5,SNPS,Sell,2024-01-24,552.48
3,PAYX,Sell,2024-01-23,122.64
3,PYPL,Sell,2024-01-22,68.02
1,CDNS,Sell,2024-01-22,295.96
1,ACGL,Sell,2024-01-22,81.01
3,AON,Sell,2024-01-22,311.34
1,ORCL,Sell,2024-01-19,109.32
3,DECK,Sell,2024-01-19,744.26
3,MSI,Sell,2024-01-19,323.02
3,AZO,Sell,2024-01-17,2676.2
3,ORLY,Sell,2024-01-17,991.14
3,AJG,Sell,2024-01-16,235.08
3,CBOE,Sell,2024-01-16,181.06
5,MMC,Sell,2024-01-16,195.92
3,BRO,Sell,2024-01-16,74.59
1,IBM,Sell,2024-01-16,165.8
3,CHD,Sell,2024-01-12,97.87
7,WTW,Sell,2024-01-12,248.09
3,NOW,Sell,2024-01-12,724.8
5,J,Sell,2024-01-10,130.9
1,FOX,Sell,2024-01-09,28.25
3,NVDA,Sell,2024-01-09,524.01
3,FOXA,Sell,2024-01-09,30.38
1,BRK-B,Sell,2024-01-04,367.41
1,KMI,Sell,2024-01-04,18.15
3,MPC,Sell,2024-01-04,159.83
3,KR,Sell,2024-01-03,46.69
1,HRL,Sell,2024-01-03,32.9
3,LVS,Sell,2024-01-03,50.69
3,MDLZ,Sell,2024-01-03,74.36
1,MCK,Sell,2024-01-03,476.24
1,APA,Sell,2023-12-27,37.24
5,ANSS,Sell,2023-12-26,358.29
5,CF,Sell,2023-12-22,80.2
3,GOOG,Sell,2023-12-22,142.13
1,ACN,Sell,2023-12-22,350.0
3,GOOGL,Sell,2023-12-22,140.77
1,FDS,Sell,2023-12-22,472.68
1,CTLT,Sell,2023-12-20,44.51
1,EBAY,Sell,2023-12-20,43.4
3,CTVA,Sell,2023-12-20,47.78
1,WYNN,Sell,2023-12-20,91.88
5,TYL,Sell,2023-12-19,419.06
1,AMZN,Sell,2023-12-19,154.4
1,CSCO,Sell,2023-12-18,49.92
1,FSLR,Sell,2023-12-18,166.5
1,UPS,Sell,2023-12-15,161.37
1,PH,Sell,2023-12-15,453.09
1,BWA,Sell,2023-12-15,35.75
3,CVX,Sell,2023-12-15,147.32
3,LYV,Sell,2023-12-15,92.85
1,VLO,Sell,2023-12-15,126.83
1,MRNA,Sell,2023-12-15,87.03
3,DD,Sell,2023-12-15,73.65
5,EXPD,Sell,2023-12-15,123.0
5,LKQ,Sell,2023-12-15,46.79
3,XRAY,Sell,2023-12-15,34.37
1,MTCH,Sell,2023-12-15,34.6
1,GPC,Sell,2023-12-15,138.96
3,APTV,Sell,2023-12-15,87.74
1,TXT,Sell,2023-12-15,79.1
1,NTRS,Sell,2023-12-15,85.43
5,ENPH,Sell,2023-12-15,125.82
3,ADM,Sell,2023-12-15,76.44
1,DE,Sell,2023-12-15,385.93
3,GIS,Sell,2023-12-14,68.07
1,STE,Sell,2023-12-14,208.18
1,IQV,Sell,2023-12-14,226.73
1,HIG,Sell,2023-12-14,80.66
5,PEP,Sell,2023-12-14,171.65
1,ALB,Sell,2023-12-14,143.5
1,MA,Sell,2023-12-14,425.01
3,WST,Sell,2023-12-14,361.74
1,AKAM,Sell,2023-12-14,117.65
3,CRL,Sell,2023-12-14,221.5
3,TECH,Sell,2023-12-14,75.67
3,O,Sell,2023-12-14,57.5
1,ALGN,Sell,2023-12-14,245.0
3,PFG,Sell,2023-12-14,79.13
1,FMC,Sell,2023-12-14,58.84
3,KDP,Sell,2023-12-14,33.31
1,HSIC,Sell,2023-12-14,74.32
3,RVTY,Sell,2023-12-14,99.5
1,MTD,Sell,2023-12-14,1188.04
3,COO,Sell,2023-12-14,89.59
3,ROL,Sell,2023-12-14,43.88
3,EXC,Sell,2023-12-14,41.22
3,CMCSA,Sell,2023-12-14,44.06
3,HON,Sell,2023-12-14,204.0
1,ROP,Sell,2023-12-14,550.77
1,PAYC,Sell,2023-12-14,201.86
1,AEE,Sell,2023-12-14,81.75
3,CAT,Sell,2023-12-14,272.45
3,MNST,Sell,2023-12-14,56.68
3,EMR,Sell,2023-12-14,92.98
1,VRSK,Sell,2023-12-14,247.81
3,EIX,Sell,2023-12-14,71.34
3,NI,Sell,2023-12-14,27.24
3,EMN,Sell,2023-12-14,88.3
5,NEE,Sell,2023-12-14,63.65
1,MSCI,Sell,2023-12-14,551.25
5,DUK,Sell,2023-12-14,98.76
1,BDX,Sell,2023-12-14,242.18
3,VRTX,Sell,2023-12-14,404.1
1,MLM,Sell,2023-12-13,480.91
3,FTNT,Sell,2023-12-13,55.1
3,CINF,Sell,2023-12-13,104.8
1,MET,Sell,2023-12-13,65.2
3,EW,Sell,2023-12-13,72.07
1,FTV,Sell,2023-12-12,70.67
1,ADP,Sell,2023-12-12,235.0
1,IR,Sell,2023-12-12,74.21
3,ZTS,Sell,2023-12-12,190.08
3,TDY,Sell,2023-12-12,417.39
3,EPAM,Sell,2023-12-12,275.2
1,INCY,Sell,2023-12-12,57.36
1,TER,Sell,2023-12-12,96.34
1,AMP,Sell,2023-12-12,366.12
3,WDC,Sell,2023-12-12,49.27
3,BIIB,Sell,2023-12-12,247.55
3,MPWR,Sell,2023-12-12,593.0
3,F,Sell,2023-12-11,11.02
1,CARR,Sell,2023-12-11,55.31
1,TT,Sell,2023-12-11,235.03
1,ETN,Sell,2023-12-11,233.73
1,SWKS,Sell,2023-12-11,104.52
1,AMD,Sell,2023-12-08,129.54
1,ILMN,Sell,2023-12-08,116.22
3,REGN,Sell,2023-12-07,840.0
1,MKC,Sell,2023-12-07,67.8
3,CPB,Sell,2023-12-07,43.38
3,GILD,Sell,2023-12-07,79.58
1,SJM,Sell,2023-12-06,115.61
1,CVS,Sell,2023-12-06,71.42
5,VFC,Sell,2023-12-05,18.55
3,CMI,Sell,2023-12-05,230.71
3,MRK,Sell,2023-12-05,104.92
1,LW,Sell,2023-12-05,102.19
3,EL,Sell,2023-12-05,136.88
1,PSA,Sell,2023-12-05,268.56
3,CHRW,Sell,2023-12-05,85.24
1,VTRS,Sell,2023-12-05,9.61
1,CAG,Sell,2023-12-05,29.04
1,KVUE,Sell,2023-12-04,20.62
3,GPN,Sell,2023-12-04,119.0
1,TROW,Sell,2023-12-04,101.48
1,MTB,Sell,2023-12-04,131.32
3,ABBV,Sell,2023-12-04,143.41
1,CMA,Sell,2023-12-04,47.79
1,HAS,Sell,2023-12-04,48.36
3,GNRC,Sell,2023-12-04,121.0
5,VTR,Sell,2023-12-04,46.49
1,RF,Sell,2023-12-04,17.34
1,DOC,Sell,2023-12-04,18.11
1,IVZ,Sell,2023-12-04,14.73
3,AXP,Sell,2023-12-04,172.86
1,ON,Sell,2023-12-04,73.26
3,CPT,Sell,2023-12-04,91.83
3,BBWI,Sell,2023-12-04,33.67
3,RJF,Sell,2023-12-04,107.65
1,CFG,Sell,2023-12-04,28.02
3,CNP,Sell,2023-12-04,28.59
3,EQIX,Sell,2023-12-04,817.72
3,PNR,Sell,2023-12-04,65.74
3,EQR,Sell,2023-12-04,58.02
1,ESS,Sell,2023-12-04,219.23
1,BBY,Sell,2023-12-04,73.27
1,WEC,Sell,2023-12-04,84.32
3,AVB,Sell,2023-12-04,176.67
1,UDR,Sell,2023-12-04,34.07
1,MAA,Sell,2023-12-04,125.8
1,LUV,Sell,2023-12-04,26.66
1,JCI,Sell,2023-12-04,53.4
1,KMB,Sell,2023-12-01,123.74
3,OKE,Sell,2023-12-01,68.77
3,BR,Sell,2023-12-01,193.35
3,JNJ,Sell,2023-12-01,156.44
3,CPAY,Sell,2023-12-01,239.96
3,TAP,Sell,2023-12-01,61.61
3,DFS,Sell,2023-11-30,89.68
1,SYF,Sell,2023-11-30,31.43
1,WRK,Sell,2023-11-30,40.93
3,IP,Sell,2023-11-30,36.36
3,PKG,Sell,2023-11-30,164.07
5,FIS,Sell,2023-11-30,58.4
1,VICI,Sell,2023-11-30,29.65
3,JNPR,Sell,2023-11-30,27.95
1,HPE,Sell,2023-11-30,16.84
1,GM,Sell,2023-11-30,31.75
1,TRMB,Sell,2023-11-30,46.01
3,NEM,Sell,2023-11-29,39.95
1,CCI,Sell,2023-11-29,112.21
3,CL,Sell,2023-11-29,77.84
3,STLD,Sell,2023-11-28,115.05
1,NUE,Sell,2023-11-28,161.04
1,MO,Sell,2023-11-27,41.44
1,PM,Sell,2023-11-24,94.0
1,BG,Sell,2023-11-24,109.8
1,ZBRA,Sell,2023-11-24,225.83
3,KO,Sell,2023-11-24,58.46
1,DHR,Sell,2023-11-22,218.92
1,TMO,Sell,2023-11-22,486.08
3,A,Sell,2023-11-22,123.87
1,WAT,Sell,2023-11-22,275.79
1,TXN,Sell,2023-11-20,154.02
3,ES,Sell,2023-11-20,58.06
3,CSX,Sell,2023-11-20,31.5
1,TSN,Sell,2023-11-20,48.45
3,PRU,Sell,2023-11-20,93.96
5,HCA,Sell,2023-11-20,245.03
3,ROK,Sell,2023-11-17,275.0
5,INTC,Sell,2023-11-17,42.91
3,MDT,Sell,2023-11-17,75.14
1,JPM,Sell,2023-11-17,152.2
5,ICE,Sell,2023-11-17,112.65
1,NSC,Sell,2023-11-16,208.0
3,WFC,Sell,2023-11-16,42.82
1,STT,Sell,2023-11-16,69.59
3,BX,Sell,2023-11-16,104.03
1,CTSH,Sell,2023-11-16,68.67
3,ZBH,Sell,2023-11-16,110.76
1,PYPL,Sell,2023-11-16,57.96
3,IRM,Sell,2023-11-16,62.24
3,MOS,Sell,2023-11-16,36.84
3,ABNB,Sell,2023-11-16,127.12
1,BAX,Sell,2023-11-16,35.29
3,IPG,Sell,2023-11-16,30.24
1,NCLH,Sell,2023-11-16,14.49
3,WMT,Sell,2023-11-16,52.92
1,TSCO,Sell,2023-11-16,206.74
3,JBHT,Sell,2023-11-16,182.57
1,FCX,Sell,2023-11-16,35.89
1,UNP,Sell,2023-11-16,218.36
3,PLD,Sell,2023-11-16,110.72
1,CZR,Sell,2023-11-16,46.31
1,DOV,Sell,2023-11-16,138.82
3,ABT,Sell,2023-11-16,97.72
1,TGT,Sell,2023-11-16,127.26
1,IEX,Sell,2023-11-16,198.75
3,TSLA,Sell,2023-11-16,239.49
1,HD,Sell,2023-11-15,304.1
3,LYB,Sell,2023-11-15,96.37
1,KEYS,Sell,2023-11-15,130.11
3,ITW,Sell,2023-11-15,237.11
3,LOW,Sell,2023-11-15,202.44
3,TTWO,Sell,2023-11-15,153.64
3,NVR,Sell,2023-11-15,6275.0
1,DAL,Sell,2023-11-15,35.51
3,IDXX,Sell,2023-11-15,454.69
3,ADSK,Sell,2023-11-15,217.21
1,ISRG,Sell,2023-11-15,291.39
3,SMCI,Sell,2023-11-15,294.95
3,INVH,Sell,2023-11-15,33.44
1,INTU,Sell,2023-11-15,558.99
3,HUBB,Sell,2023-11-15,296.56
1,TPR,Sell,2023-11-15,30.9
1,SYY,Sell,2023-11-15,69.33
1,TEL,Sell,2023-11-15,131.22
1,JKHY,Sell,2023-11-15,153.37
3,ATO,Sell,2023-11-15,113.49
